iter	Passed	Remaining
0	6	13775
1	12	12633
2	18	12131
3	24	12057
4	29	11899
5	35	11799
6	41	11797
7	47	11711
8	52	11647
9	58	11611
10	64	11604
11	70	11627
12	76	11646
13	81	11601
14	88	11760
15	94	11750
16	100	11728
17	106	11713
18	112	11682
19	117	11666
20	123	11649
21	129	11649
22	135	11626
23	141	11617
24	147	11637
25	153	11623
26	158	11606
27	164	11610
28	170	11592
29	176	11598
30	182	11578
31	188	11581
32	194	11573
33	199	11560
34	206	11577
35	212	11570
36	217	11557
37	223	11562
38	229	11564
39	235	11548
40	241	11540
41	247	11537
42	253	11533
43	259	11525
44	265	11530
45	271	11520
46	277	11517
47	282	11503
48	288	11489
49	294	11482
50	300	11471
51	306	11463
52	312	11474
53	318	11470
54	324	11458
55	329	11448
56	335	11444
57	341	11440
58	349	11490
59	355	11485
60	360	11474
61	366	11466
62	372	11458
63	378	11449
64	384	11437
65	389	11419
66	395	11409
67	401	11404
68	407	11393
69	413	11390
70	419	11399
71	426	11426
72	433	11447
73	444	11573
74	454	11676
75	464	11764
76	474	11844
77	483	11908
78	492	11986
79	502	12053
80	508	12046
81	514	12026
82	519	12003
83	525	11983
84	531	11969
85	536	11950
86	542	11928
87	548	11909
88	553	11890
89	559	11874
90	565	11854
91	570	11838
92	576	11822
93	582	11813
94	588	11798
95	594	11784
96	600	11775
97	605	11756
98	611	11743
99	617	11727
100	622	11709
101	628	11698
102	634	11693
103	640	11677
104	646	11663
105	651	11649
106	657	11633
107	663	11617
108	668	11604
109	674	11595
110	680	11582
111	686	11570
112	692	11562
113	698	11550
114	703	11537
115	709	11527
116	715	11514
117	721	11503
118	727	11492
119	732	11482
120	740	11498
121	746	11486
122	751	11475
123	757	11464
124	763	11452
125	769	11442
126	775	11430
127	780	11417
128	786	11407
129	792	11396
130	797	11384
131	803	11372
132	809	11362
133	815	11349
134	820	11338
135	826	11330
136	832	11316
137	838	11307
138	843	11299
139	849	11290
140	855	11281
141	861	11269
142	866	11256
143	873	11262
144	879	11256
145	886	11253
146	892	11251
147	898	11242
148	904	11232
149	909	11221
150	915	11210
151	921	11200
152	927	11197
153	933	11185
154	938	11173
155	944	11162
156	949	11151
157	955	11143
158	961	11133
159	967	11124
160	973	11117
161	978	11106
162	984	11094
163	990	11085
164	996	11076
165	1001	11069
166	1007	11060
167	1013	11050
168	1018	11039
169	1024	11031
170	1030	11022
171	1036	11012
172	1042	11006
173	1047	10997
174	1053	10988
175	1059	10977
176	1064	10967
177	1070	10959
178	1076	10950
179	1082	10941
180	1088	10934
181	1093	10926
182	1099	10918
183	1105	10910
184	1111	10900
185	1116	10890
186	1122	10882
187	1128	10877
188	1135	10881
189	1141	10873
190	1147	10866
191	1153	10859
192	1158	10850
193	1164	10841
194	1170	10833
195	1176	10829
196	1182	10820
197	1188	10812
198	1193	10803
199	1199	10794
200	1205	10787
201	1211	10783
202	1219	10797
203	1226	10797
204	1232	10789
205	1238	10784
206	1244	10778
207	1250	10772
208	1256	10764
209	1262	10757
210	1268	10757
211	1274	10750
212	1280	10742
213	1286	10736
214	1291	10726
215	1297	10718
216	1303	10711
217	1309	10702
218	1315	10695
219	1321	10688
220	1326	10679
221	1332	10671
222	1338	10662
223	1343	10654
224	1349	10645
225	1354	10635
226	1361	10631
227	1367	10625
228	1373	10618
229	1378	10610
230	1384	10602
231	1390	10594
232	1395	10584
233	1401	10577
234	1407	10574
235	1414	10569
236	1420	10563
237	1425	10556
238	1431	10549
239	1437	10543
240	1443	10536
241	1449	10528
242	1454	10519
243	1460	10512
244	1466	10506
245	1472	10498
246	1478	10491
247	1483	10483
248	1489	10473
249	1495	10465
250	1500	10457
251	1506	10450
252	1512	10442
253	1517	10433
254	1523	10426
255	1531	10430
256	1536	10422
257	1542	10415
258	1548	10407
259	1554	10401
260	1559	10393
261	1565	10386
262	1571	10378
263	1577	10370
264	1582	10361
265	1589	10358
266	1594	10349
267	1600	10340
268	1605	10333
269	1611	10325
270	1617	10320
271	1623	10312
272	1629	10305
273	1634	10297
274	1640	10292
275	1646	10287
276	1652	10280
277	1658	10274
278	1664	10269
279	1670	10263
280	1676	10258
281	1682	10251
282	1688	10244
283	1694	10237
284	1700	10231
285	1706	10226
286	1712	10219
287	1717	10212
288	1723	10206
289	1729	10200
290	1735	10195
291	1741	10188
292	1747	10183
293	1753	10177
294	1759	10171
295	1766	10166
296	1771	10159
297	1777	10153
298	1783	10146
299	1789	10139
300	1795	10133
301	1801	10129
302	1807	10124
303	1813	10119
304	1820	10115
305	1825	10108
306	1832	10103
307	1837	10096
308	1843	10088
309	1849	10082
310	1855	10076
311	1861	10070
312	1867	10065
313	1873	10058
314	1879	10051
315	1885	10045
316	1890	10038
317	1896	10033
318	1902	10025
319	1908	10019
320	1914	10012
321	1921	10013
322	1927	10009
323	1933	10003
324	1939	9995
325	1945	9989
326	1951	9983
327	1957	9977
328	1962	9970
329	1969	9965
330	1975	9958
331	1981	9952
332	1986	9946
333	1992	9938
334	1998	9932
335	2004	9925
336	2009	9917
337	2015	9911
338	2021	9904
339	2027	9897
340	2033	9891
341	2038	9884
342	2044	9878
343	2050	9871
344	2056	9864
345	2063	9862
346	2068	9854
347	2074	9847
348	2080	9839
349	2085	9833
350	2091	9827
351	2097	9819
352	2102	9811
353	2108	9803
354	2114	9796
355	2119	9789
356	2125	9782
